"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,71369,dollars,64575,78163,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,67043,dollars,59927,74159,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,72306,dollars,65002,79610,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,68229,dollars,58198,78260,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,62089,dollars,51992,72186,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,71319,dollars,57900,84738,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,64093,dollars,52011,76175,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,57165,dollars,45985,68345,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77002,66776,dollars,55707,77845,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,72295,dollars,62963,81627,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,64006,dollars,56392,71620,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,59575,dollars,49279,69871,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,46267,dollars,39137,53397,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,39039,dollars,33053,45025,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,40647,dollars,32485,48809,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,36412,dollars,27445,45379,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,37664,dollars,30249,45079,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77003,35258,dollars,28181,42335,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Median Household Income","This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.","Zip Code",77004,51309,dollars,47201,55417,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
