"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,32.5,percent,24.8,40.2,4166,,3725,4607,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,29.8,percent,20.5,39.1,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,29.6,percent,26.2,33.0,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,28.5,percent,25.4,31.6,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,26.7,percent,23.8,29.6,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,27.6,percent,24.8,30.4,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,26.9,percent,24.3,29.5,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,25.0,percent,22.1,27.9,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77002,24.0,percent,20.9,27.1,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,46.8,percent,42.5,51.1,3289,,2971,3607,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,42.7,percent,37.7,47.7,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,38.4,percent,33.0,43.8,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,31.7,percent,27.6,35.8,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,27.8,percent,23.7,31.9,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,29.3,percent,24.7,33.9,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,27.4,percent,23.6,31.2,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,25.1,percent,21.4,28.8,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77003,24.6,percent,20.6,28.6,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,51.8,percent,49.1,54.5,11148,,10422,11874,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,48.4,percent,45.5,51.3,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,46.8,percent,44.3,49.3,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,47.3,percent,44.5,50.1,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,47.1,percent,44.1,50.1,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,46.2,percent,43.8,48.6,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,45.7,percent,43.3,48.1,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,44.4,percent,41.5,47.3,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77004,43.9,percent,41.2,46.6,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a Bachelor's Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have earned a bachelor's degree or higher.","Zip Code",77005,84.5,percent,82.4,86.6,15020,,14461,15579,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
