"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,82.5,percent,76.7,88.3,10584,,8837,12331,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,79.6,percent,73.0,86.2,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,81.5,percent,79.1,83.9,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,76.6,percent,73.1,80.1,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,74.6,percent,70.9,78.3,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,72.9,percent,69.7,76.1,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,73.4,percent,70.0,76.8,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,71.1,percent,67.7,74.5,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77002,72.3,percent,68.2,76.4,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"People 25+ with a High School Degree or Higher","This indicator shows the percentage of people aged 25 years and over who have completed at least a high school degree or the equivalent.","Zip Code",77003,81.2,percent,77.8,84.6,5704,,5267,6141,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
