"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,35779,dollars,31018,40540,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,33356,dollars,28780,37932,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,34779,dollars,30642,38916,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,34805,dollars,30991,38619,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,37196,dollars,32878,41514,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,36037,dollars,30938,41136,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,37292,dollars,31678,42906,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,32514,dollars,28014,37014,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77002,33129,dollars,28466,37792,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,43110,dollars,39499,46721,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,38559,dollars,35292,41826,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,37760,dollars,34404,41116,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,32771,dollars,29257,36285,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,28746,dollars,25339,32153,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,30724,dollars,26436,35012,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,27263,dollars,23177,31349,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,27248,dollars,23399,31097,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77003,26002,dollars,21998,30006,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,33351,dollars,30173,36529,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,32283,dollars,28186,36380,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,31067,dollars,28172,33962,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,32140,dollars,29347,34933,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,30732,dollars,28770,32694,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,31586,dollars,29447,33725,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,29776,dollars,27820,31732,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,29787,dollars,27417,32157,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77004,27733,dollars,25151,30315,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,104438,dollars,97344,111532,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,102998,dollars,97603,108393,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,100896,dollars,93982,107810,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,98397,dollars,92446,104348,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,94080,dollars,87992,100168,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,96435,dollars,89810,103060,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,92258,dollars,86406,98110,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,88579,dollars,83063,94095,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77005,83593,dollars,77175,90011,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,72843,dollars,67965,77721,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,72074,dollars,68201,75947,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,68705,dollars,64554,72856,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,66494,dollars,61322,71666,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,64474,dollars,60394,68554,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,62642,dollars,58370,66914,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,61809,dollars,57511,66107,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,60795,dollars,56238,65352,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77006,57748,dollars,53072,62424,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77007,84563,dollars,78780,90346,,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77007,86545,dollars,81323,91767,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77007,85419,dollars,79771,91067,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77007,77957,dollars,72735,83179,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77007,76163,dollars,72127,80199,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77007,72409,dollars,67818,77000,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Per Capita Income","This indicator shows the per capita income.","Zip Code",77007,70544,dollars,65933,75155,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
