Series ID,Year,Period,Label,Value
LAUCT483500000000004,2019,M01,2019 Jan,50211
LAUCT483500000000004,2019,M02,2019 Feb,45967
LAUCT483500000000004,2019,M03,2019 Mar,42550
LAUCT483500000000004,2019,M04,2019 Apr,37592
LAUCT483500000000004,2019,M05,2019 May,38401
LAUCT483500000000004,2019,M06,2019 Jun,45679
LAUCT483500000000004,2019,M07,2019 Jul,46733
LAUCT483500000000004,2019,M08,2019 Aug,45360
LAUCT483500000000004,2019,M09,2019 Sep,42009
LAUCT483500000000004,2019,M10,2019 Oct,41026
LAUCT483500000000004,2019,M11,2019 Nov,41511
LAUCT483500000000004,2019,M12,2019 Dec,39902
LAUCT483500000000004,2020,M01,2020 Jan,45248
LAUCT483500000000004,2020,M02,2020 Feb,43432
LAUCT483500000000004,2020,M03,2020 Mar,62341
LAUCT483500000000004,2020,M04,2020 Apr,158535
LAUCT483500000000004,2020,M05,2020 May,150788
LAUCT483500000000004,2020,M06,2020 Jun,140388
LAUCT483500000000004,2020,M07,2020 Jul,133197
LAUCT483500000000004,2020,M08,2020 Aug,97013
LAUCT483500000000004,2020,M09,2020 Sep,110303
LAUCT483500000000004,2020,M10,2020 Oct,92159
LAUCT483500000000004,2020,M11,2020 Nov,88363
LAUCT483500000000004,2020,M12,2020 Dec,85955
LAUCT483500000000004,2021,M01,2021 Jan,90313
LAUCT483500000000004,2021,M02,2021 Feb,92975
LAUCT483500000000004,2021,M03,2021 Mar,91083
LAUCT483500000000004,2021,M04,2021 Apr,79764
